"","Especie","C1.P1","C1.P2","C1.P3","C10.P1","C10.P2","C10.P3","C11.P1","C11.P2","C11.P3","C12.P1","C12.P2","C12.P3","C13.P1","C13.P2","C13.P3","C14.P1","C14.P2","C14.P3","C15.P1","C15.P2","C15.P3","C16.P1","C16.P2","C16.P3","C17.P1","C17.P2","C17.P3","C18.P1","C18.P2","C18.P3","C19.P1","C19.P2","C19.P3","C2.P1","C2.P2","C2.P3","C20.P1","C20.P2","C20.P3","C21.P1","C21.P2","C21.P3","C22.P1","C22.P2","C22.P3","C23.P1","C23.P2","C23.P3","C24.P1","C24.P2","C24.P3","C3.P1","C3.P2","C3.P3","C4.P1","C4.P2","C4.P3","C5.P1","C5.P2","C5.P3","C6.P1","C6.P2","C6.P3","C7.P1","C7.P2","C7.P3","C8.P1","C8.P2","C8.P3","C9.P1","C9.P2","C9.P3","Familia","tipo","color","lon_fr","anc_fr","pe_fr","semi_fr","lon_se","anc_se","pe_se","un_dis","sin_di"
"1","Acacia macracantha",2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,0,0,1,0,0,0,10,17,3,1,16,8,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,2,7,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fabaceae","pods","brown",75.83,11.66,1.5589,12,5.51,4.16,0.0393,"fruit","Autochory"
"2","Achatocarpus pubescens",3,4,5,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,27,2,15,0,1,3,0,2,1,0,11,3,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Achatocarpaceae","berry","green",3.95,3.67,0.0309,1,3.11,3.12,0.0126,"fruit","Zoochory"
"3","Acnistus arborescens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Solanaceae","berry","orange",9.08,10.2,0.672,18,3.63,2.76,0.0061,"fruit","Zoochory"
"4","Agonandra excelsa",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Opiliaceae","drupe","orange",20,15,3.9,1,15,10,1.4,"fruit","Zoochory"
"5","Albizia multiflora",0,4,4,0,0,2,2,3,0,0,0,1,0,0,1,2,12,2,1,1,2,0,0,0,1,0,1,6,1,1,0,0,4,1,0,0,0,0,1,3,4,2,4,0,3,0,0,0,1,0,1,2,2,2,3,1,1,0,1,0,0,0,0,0,0,1,0,2,2,0,0,0,"Fabaceae","pods","brown",128.84,15.07,8.4208,14,9.86,5.96,0.1495,"fruit","Autochory"
"6","Annona muricata",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Annonaceae","berry","green",195,120,1529.7,137,20,0.7,99.3,"fruit","Zoochory"
"7","Bauhinia aculeata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fabaceae","pods","brown",157.85,20.24,9.185,10,7.36,5.26,93.9,"seed","Autochory"
"8","Bougainvillea peruviana",0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,1,1,0,1,1,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Nyctaginaceae","achene","brown",25,2.5,NA,1,4.5,NA,NA,"fruit","Anemochory"
"9","Bursera graveolens",0,0,0,0,13,3,4,9,7,4,13,1,2,1,0,0,0,0,1,4,2,2,5,10,0,0,3,1,2,2,26,19,1,0,1,1,35,20,35,0,0,0,0,1,3,5,2,2,0,0,0,0,0,0,4,0,1,7,16,16,7,7,5,1,2,3,3,5,38,1,3,1,"Burseraceae","drupe","green",8.5,12.5,0.25,1,4.76,2.61,0.0857,"fruit","Zoochory"
"10","Caesalpinia glabrata",0,1,0,0,2,0,2,0,2,5,0,1,4,0,2,2,0,0,2,0,1,2,7,1,0,0,3,0,0,0,1,4,5,1,2,0,1,0,0,9,4,7,7,1,3,1,12,26,4,8,3,4,5,0,0,1,0,27,12,5,13,18,11,8,9,2,0,0,1,15,13,0,"Fabaceae","pods","brown",75.01,15.57,3.7929,8,8.14,5.4,0.0673,"fruit","Autochory"
